k,time,comp_time
0,0.0,2.590000000024517e-05
1,0.1,1.1799999999784205e-05
2,0.2,8.699999999972619e-06
3,0.30000000000000004,8.400000000019503e-06
4,0.4,2.4000000000690136e-06
5,0.5,8.299999999739072e-06
6,0.6000000000000001,7.899999999949614e-06
7,0.7000000000000001,2.3000000002326715e-06
8,0.8,8.200000000346819e-06
9,0.9,2.4999999999053557e-06
10,1.0,7.899999999949614e-06
11,1.1,7.5999999999964984e-06
12,1.2000000000000002,7.69999999983284e-06
13,1.3,2.4000000000690136e-06
14,1.4000000000000001,7.400000000323814e-06
15,1.5,2.19999999995224e-06
16,1.6,7.899999999949614e-06
17,1.7000000000000002,7.800000000113272e-06
18,1.8,2.2999999997885823e-06
19,1.9000000000000001,7.999999999785956e-06
20,2.0,2.2999999997885823e-06
21,2.1,7.900000000393703e-06
22,2.2,8.000000000230045e-06
23,2.3000000000000003,7.899999999949614e-06
24,2.4000000000000004,7.69999999983284e-06
25,2.5,2.3000000002326715e-06
26,2.6,7.5999999999964984e-06
27,2.7,7.69999999983284e-06
28,2.8000000000000003,7.999999999785956e-06
29,2.9000000000000004,7.5999999999964984e-06
30,3.0,2.4000000000690136e-06
31,3.1,7.800000000113272e-06
32,3.2,7.899999999949614e-06
33,3.3000000000000003,8.100000000066387e-06
34,3.4000000000000004,8.000000000230045e-06
35,3.5,2.3000000002326715e-06
36,3.6,8.100000000066387e-06
37,3.7,8.099999999622298e-06
38,3.8000000000000003,8.19999999990273e-06
39,3.9000000000000004,7.899999999949614e-06
40,4.0,2.4000000000690136e-06
41,4.1000000000000005,8.100000000066387e-06
42,4.2,2.3000000002326715e-06
43,4.3,7.69999999983284e-06
44,4.4,8.300000000183161e-06
45,4.5,2.19999999995224e-06
46,4.6000000000000005,7.899999999949614e-06
47,4.7,2.19999999995224e-06
48,4.800000000000001,7.899999999949614e-06
49,4.9,2.4000000000690136e-06
50,5.0,8.900000000089392e-06
51,5.1000000000000005,8.400000000019503e-06
52,5.2,2.3000000002326715e-06
53,5.300000000000001,7.899999999949614e-06
54,5.4,2.19999999995224e-06
55,5.5,7.899999999949614e-06
56,5.6000000000000005,7.69999999983284e-06
57,5.7,2.19999999995224e-06
58,5.800000000000001,7.69999999983284e-06
59,5.9,2.3000000002326715e-06
60,6.0,7.999999999785956e-06
61,6.1000000000000005,7.800000000113272e-06
62,6.2,2.2000000003963294e-06
63,6.300000000000001,7.799999999669183e-06
64,6.4,2.19999999995224e-06
65,6.5,7.5999999999964984e-06
66,6.6000000000000005,7.999999999785956e-06
67,6.7,2.3000000002326715e-06
68,6.800000000000001,8.000000000230045e-06
69,6.9,2.2999999997885823e-06
70,7.0,7.69999999983284e-06
71,7.1000000000000005,7.800000000113272e-06
72,7.2,2.3000000002326715e-06
73,7.300000000000001,7.800000000113272e-06
74,7.4,2.2999999997885823e-06
75,7.5,7.69999999983284e-06
76,7.6000000000000005,7.800000000113272e-06
77,7.7,2.19999999995224e-06
78,7.800000000000001,8.600000000136276e-06
79,7.9,2.3000000002326715e-06
80,8.0,7.799999999669183e-06
81,8.1,2.4000000000690136e-06
82,8.200000000000001,7.899999999949614e-06
83,8.3,2.2999999997885823e-06
84,8.4,7.70000000027693e-06
85,8.5,2.3000000002326715e-06
86,8.6,8.600000000136276e-06
87,8.700000000000001,7.899999999949614e-06
88,8.8,2.4000000000690136e-06
89,8.9,1.0200000000182285e-05
90,9.0,2.4000000000690136e-06
91,9.1,8.400000000019503e-06
92,9.200000000000001,8.100000000066387e-06
93,9.3,2.4999999999053557e-06
94,9.4,8.300000000183161e-06
95,9.5,2.3999999996249244e-06
96,9.600000000000001,8.19999999990273e-06
97,9.700000000000001,2.19999999995224e-06
98,9.8,7.999999999785956e-06
99,9.9,2.3000000002326715e-06
100,10.0,1.100000000020529e-05
101,10.100000000000001,7.999999999785956e-06
102,10.200000000000001,2.500000000349445e-06
103,10.3,8.100000000066387e-06
104,10.4,2.2999999997885823e-06
105,10.5,1.0099999999901854e-05
106,10.600000000000001,8.699999999972619e-06
107,10.700000000000001,2.4999999999053557e-06
108,10.8,8.200000000346819e-06
109,10.9,2.3000000002326715e-06
110,11.0,8.100000000066387e-06
111,11.100000000000001,8.100000000066387e-06
112,11.200000000000001,2.9000000001389026e-06
113,11.3,7.999999999785956e-06
114,11.4,2.4999999999053557e-06
115,11.5,8.599999999692187e-06
116,11.600000000000001,9.600000000276054e-06
117,11.700000000000001,2.2999999997885823e-06
118,11.8,7.899999999949614e-06
119,11.9,2.3000000002326715e-06
120,12.0,8.100000000066387e-06
121,12.100000000000001,7.899999999949614e-06
122,12.200000000000001,2.3000000002326715e-06
123,12.3,8.000000000230045e-06
124,12.4,2.2999999997885823e-06
125,12.5,8.100000000066387e-06
126,12.600000000000001,8.100000000066387e-06
127,12.700000000000001,2.2999999997885823e-06
128,12.8,8.100000000066387e-06
129,12.9,2.4000000000690136e-06
130,13.0,8.400000000019503e-06
131,13.100000000000001,8.400000000019503e-06
132,13.200000000000001,2.2999999997885823e-06
133,13.3,7.999999999785956e-06
134,13.4,2.19999999995224e-06
135,13.5,8.000000000230045e-06
136,13.600000000000001,7.800000000113272e-06
137,13.700000000000001,2.2999999997885823e-06
138,13.8,7.899999999949614e-06
139,13.9,2.19999999995224e-06
140,14.0,7.900000000393703e-06
141,14.100000000000001,7.69999999983284e-06
142,14.200000000000001,2.19999999995224e-06
143,14.3,8.200000000346819e-06
144,14.4,2.19999999995224e-06
145,14.5,7.70000000027693e-06
146,14.600000000000001,7.899999999949614e-06
147,14.700000000000001,2.2999999997885823e-06
148,14.8,7.899999999949614e-06
149,14.9,2.19999999995224e-06
150,15.0,7.999999999785956e-06
151,15.100000000000001,7.5999999999964984e-06
152,15.200000000000001,2.3000000002326715e-06
153,15.3,7.800000000113272e-06
154,15.4,2.2000000003963294e-06
155,15.5,7.900000000393703e-06
156,15.600000000000001,8.100000000066387e-06
157,15.700000000000001,2.4000000000690136e-06
158,15.8,7.800000000113272e-06
159,15.9,2.2999999997885823e-06
160,16.0,7.70000000027693e-06
161,16.1,8.100000000066387e-06
162,16.2,2.19999999995224e-06
163,16.3,8.400000000019503e-06
164,16.400000000000002,8.000000000230045e-06
165,16.5,2.19999999995224e-06
166,16.6,8.299999999739072e-06
167,16.7,2.4000000000690136e-06
168,16.8,8.300000000183161e-06
169,16.900000000000002,8.400000000019503e-06
170,17.0,2.4000000000690136e-06
171,17.1,7.899999999949614e-06
172,17.2,2.3000000002326715e-06
173,17.3,7.999999999785956e-06
174,17.400000000000002,7.999999999785956e-06
175,17.5,2.2000000003963294e-06
176,17.6,8.000000000230045e-06
177,17.7,2.19999999995224e-06
178,17.8,8.100000000066387e-06
179,17.900000000000002,8.100000000066387e-06
180,18.0,2.3000000002326715e-06
181,18.1,7.999999999785956e-06
182,18.2,2.3000000002326715e-06
183,18.3,7.70000000027693e-06
184,18.400000000000002,8.000000000230045e-06
185,18.5,2.3000000002326715e-06
186,18.6,8.000000000230045e-06
187,18.7,2.2999999997885823e-06
188,18.8,7.899999999949614e-06
189,18.900000000000002,8.000000000230045e-06
190,19.0,2.19999999995224e-06
191,19.1,7.899999999949614e-06
192,19.200000000000003,7.899999999949614e-06
193,19.3,2.2999999997885823e-06
194,19.400000000000002,7.800000000113272e-06
195,19.5,2.3000000002326715e-06
196,19.6,7.899999999949614e-06
197,19.700000000000003,7.800000000113272e-06
198,19.8,2.3000000002326715e-06
199,19.900000000000002,7.899999999949614e-06
200,20.0,3.5999999998814758e-06
201,20.1,1.0400000000299059e-05
202,20.200000000000003,1.0099999999901854e-05
203,20.3,2.4999999999053557e-06
204,20.400000000000002,8.19999999990273e-06
205,20.5,2.4999999999053557e-06
206,20.6,8.300000000183161e-06
207,20.700000000000003,8.100000000066387e-06
208,20.8,2.4999999999053557e-06
209,20.900000000000002,8.100000000066387e-06
210,21.0,2.4000000000690136e-06
211,21.1,8.300000000183161e-06
212,21.200000000000003,1.4399999999969992e-05
213,21.3,2.3999999996249244e-06
214,21.400000000000002,7.999999999785956e-06
215,21.5,2.4000000000690136e-06
216,21.6,7.899999999949614e-06
217,21.700000000000003,8.000000000230045e-06
218,21.8,2.4000000000690136e-06
219,21.900000000000002,7.899999999949614e-06
220,22.0,2.3000000002326715e-06
221,22.1,7.799999999669183e-06
222,22.200000000000003,7.899999999949614e-06
223,22.3,2.2999999997885823e-06
224,22.400000000000002,8.400000000019503e-06
225,22.5,2.19999999995224e-06
226,22.6,8.000000000230045e-06
227,22.700000000000003,7.999999999785956e-06
228,22.8,2.3000000002326715e-06
229,22.900000000000002,7.800000000113272e-06
230,23.0,2.2999999997885823e-06
231,23.1,7.70000000027693e-06
232,23.200000000000003,7.899999999949614e-06
233,23.3,2.3000000002326715e-06
234,23.400000000000002,7.800000000113272e-06
235,23.5,2.2999999997885823e-06
236,23.6,7.999999999785956e-06
237,23.700000000000003,8.400000000019503e-06
238,23.8,2.2999999997885823e-06
239,23.900000000000002,8.299999999739072e-06
240,24.0,2.3000000002326715e-06
241,24.1,8.100000000066387e-06
242,24.200000000000003,8.599999999692187e-06
243,24.3,2.3000000002326715e-06
244,24.400000000000002,7.799999999669183e-06
245,24.5,2.3000000002326715e-06
246,24.6,8.300000000183161e-06
247,24.700000000000003,7.69999999983284e-06
248,24.8,2.4000000000690136e-06
249,24.900000000000002,7.800000000113272e-06
250,25.0,2.2999999997885823e-06
251,25.1,7.800000000113272e-06
252,25.200000000000003,7.999999999785956e-06
253,25.3,2.3000000002326715e-06
254,25.400000000000002,7.999999999785956e-06
255,25.5,2.3999999996249244e-06
256,25.6,7.899999999949614e-06
257,25.700000000000003,7.899999999949614e-06
258,25.8,2.4000000000690136e-06
259,25.900000000000002,8.100000000066387e-06
260,26.0,2.2999999997885823e-06
261,26.1,8.100000000066387e-06
262,26.200000000000003,8.19999999990273e-06
263,26.3,2.2999999997885823e-06
264,26.400000000000002,8.19999999990273e-06
265,26.5,2.2999999997885823e-06
266,26.6,7.900000000393703e-06
267,26.700000000000003,8.100000000066387e-06
268,26.8,2.2999999997885823e-06
269,26.900000000000002,8.100000000066387e-06
