k,time,comp_time
0,0.0,1.3299999999993872e-05
1,0.1,8.79999999980896e-06
2,0.2,8.499999999855845e-06
3,0.30000000000000004,7.999999999785956e-06
4,0.4,2.19999999995224e-06
5,0.5,7.999999999785956e-06
6,0.6000000000000001,7.5999999999964984e-06
7,0.7000000000000001,2.19999999995224e-06
8,0.8,7.799999999669183e-06
9,0.9,2.3000000002326715e-06
10,1.0,7.5999999999964984e-06
11,1.1,7.5999999999964984e-06
12,1.2000000000000002,7.799999999669183e-06
13,1.3,2.19999999995224e-06
14,1.4000000000000001,7.69999999983284e-06
15,1.5,2.19999999995224e-06
16,1.6,7.70000000027693e-06
17,1.7000000000000002,7.69999999983284e-06
18,1.8,2.3000000002326715e-06
19,1.9000000000000001,7.800000000113272e-06
20,2.0,2.100000000115898e-06
21,2.1,8.19999999990273e-06
22,2.2,7.899999999949614e-06
23,2.3000000000000003,8.200000000346819e-06
24,2.4000000000000004,7.70000000027693e-06
25,2.5,2.100000000115898e-06
26,2.6,7.69999999983284e-06
27,2.7,7.5999999999964984e-06
28,2.8000000000000003,7.500000000160156e-06
29,2.9000000000000004,8.80000000025305e-06
30,3.0,2.19999999995224e-06
31,3.1,7.800000000113272e-06
32,3.2,7.5999999999964984e-06
33,3.3000000000000003,7.800000000113272e-06
34,3.4000000000000004,7.500000000160156e-06
35,3.5,2.3000000002326715e-06
36,3.6,7.70000000027693e-06
37,3.7,7.69999999983284e-06
38,3.8000000000000003,7.69999999983284e-06
39,3.9000000000000004,7.69999999983284e-06
40,4.0,2.3000000002326715e-06
41,4.1000000000000005,8.19999999990273e-06
42,4.2,2.3000000002326715e-06
43,4.3,7.5999999999964984e-06
44,4.4,7.5999999999964984e-06
45,4.5,2.3000000002326715e-06
46,4.6000000000000005,7.899999999949614e-06
47,4.7,2.2999999997885823e-06
48,4.800000000000001,7.799999999669183e-06
49,4.9,2.2999999997885823e-06
50,5.0,7.799999999669183e-06
51,5.1000000000000005,7.69999999983284e-06
52,5.2,2.2000000003963294e-06
53,5.300000000000001,7.5999999999964984e-06
54,5.4,2.19999999995224e-06
55,5.5,7.600000000440588e-06
56,5.6000000000000005,7.500000000160156e-06
57,5.7,2.19999999995224e-06
58,5.800000000000001,7.5999999999964984e-06
59,5.9,2.19999999995224e-06
60,6.0,7.69999999983284e-06
61,6.1000000000000005,7.500000000160156e-06
62,6.2,2.19999999995224e-06
63,6.300000000000001,7.5999999999964984e-06
64,6.4,2.100000000115898e-06
65,6.5,7.5999999999964984e-06
66,6.6000000000000005,7.500000000160156e-06
67,6.7,2.19999999995224e-06
68,6.800000000000001,7.5999999999964984e-06
69,6.9,2.19999999995224e-06
70,7.0,7.5999999999964984e-06
71,7.1000000000000005,7.5999999999964984e-06
72,7.2,2.19999999995224e-06
73,7.300000000000001,7.70000000027693e-06
74,7.4,2.4000000000690136e-06
75,7.5,7.499999999716067e-06
76,7.6000000000000005,8.200000000346819e-06
77,7.7,2.100000000115898e-06
78,7.800000000000001,7.69999999983284e-06
79,7.9,2.19999999995224e-06
80,8.0,7.70000000027693e-06
81,8.1,2.3000000002326715e-06
82,8.200000000000001,7.600000000440588e-06
83,8.3,2.2999999997885823e-06
84,8.4,7.500000000160156e-06
85,8.5,2.19999999995224e-06
86,8.6,7.500000000160156e-06
87,8.700000000000001,7.499999999716067e-06
88,8.8,2.19999999995224e-06
89,8.9,1.5300000000273428e-05
90,9.0,2.7999999998584713e-06
91,9.1,8.900000000089392e-06
92,9.200000000000001,8.299999999739072e-06
93,9.3,2.4000000000690136e-06
94,9.4,8.100000000066387e-06
95,9.5,2.2999999997885823e-06
96,9.600000000000001,8.000000000230045e-06
97,9.700000000000001,2.2999999997885823e-06
98,9.8,7.899999999949614e-06
99,9.9,2.4000000000690136e-06
100,10.0,8.000000000230045e-06
101,10.100000000000001,7.70000000027693e-06
102,10.200000000000001,2.19999999995224e-06
103,10.3,7.70000000027693e-06
104,10.4,2.2999999997885823e-06
105,10.5,0.0015564999999999607
106,10.600000000000001,2.7800000000244296e-05
107,10.700000000000001,2.089999999999037e-05
108,10.8,2.5500000000011624e-05
109,10.9,1.9899999999850593e-05
110,11.0,2.4799999999824962e-05
111,11.100000000000001,2.4100000000526478e-05
112,11.200000000000001,2.040000000036457e-05
113,11.3,2.480000000026905e-05
114,11.4,1.930000000038845e-05
115,11.5,2.7699999999963865e-05
0,0.0,1.4999999999876223e-05
1,0.1,8.599999999692187e-06
2,0.2,8.19999999990273e-06
3,0.30000000000000004,7.899999999949614e-06
4,0.4,2.2999999997885823e-06
5,0.5,8.000000000230045e-06
6,0.6000000000000001,9.200000000042508e-06
7,0.7000000000000001,2.500000000349445e-06
8,0.8,8.100000000066387e-06
9,0.9,2.4000000000690136e-06
10,1.0,7.799999999669183e-06
11,1.1,7.899999999949614e-06
12,1.2000000000000002,7.799999999669183e-06
13,1.3,2.2999999997885823e-06
14,1.4000000000000001,7.899999999949614e-06
15,1.5,2.4000000000690136e-06
16,1.6,7.800000000113272e-06
17,1.7000000000000002,7.899999999949614e-06
18,1.8,2.3000000002326715e-06
19,1.9000000000000001,8.000000000230045e-06
20,2.0,2.2999999997885823e-06
21,2.1,7.800000000113272e-06
22,2.2,8.400000000019503e-06
23,2.3000000000000003,8.000000000230045e-06
24,2.4000000000000004,8.099999999622298e-06
25,2.5,2.4000000000690136e-06
26,2.6,7.799999999669183e-06
27,2.7,7.800000000113272e-06
28,2.8000000000000003,7.899999999949614e-06
29,2.9000000000000004,7.500000000160156e-06
30,3.0,2.4999999999053557e-06
31,3.1,7.999999999785956e-06
32,3.2,7.899999999949614e-06
33,3.3000000000000003,7.800000000113272e-06
34,3.4000000000000004,8.899999999645303e-06
35,3.5,2.4000000000690136e-06
36,3.6,8.100000000066387e-06
37,3.7,8.299999999739072e-06
38,3.8000000000000003,7.800000000113272e-06
39,3.9000000000000004,7.999999999785956e-06
40,4.0,2.4000000000690136e-06
41,4.1000000000000005,7.5999999999964984e-06
42,4.2,2.19999999995224e-06
43,4.3,7.899999999949614e-06
44,4.4,7.70000000027693e-06
45,4.5,2.4000000000690136e-06
46,4.6000000000000005,8.000000000230045e-06
47,4.7,2.3000000002326715e-06
48,4.800000000000001,8.19999999990273e-06
49,4.9,2.500000000349445e-06
50,5.0,7.899999999949614e-06
51,5.1000000000000005,7.799999999669183e-06
52,5.2,2.2999999997885823e-06
53,5.300000000000001,7.5999999999964984e-06
54,5.4,2.3000000002326715e-06
55,5.5,7.69999999983284e-06
56,5.6000000000000005,7.69999999983284e-06
57,5.7,2.2999999997885823e-06
58,5.800000000000001,7.899999999949614e-06
59,5.9,2.19999999995224e-06
60,6.0,7.70000000027693e-06
61,6.1000000000000005,7.799999999669183e-06
62,6.2,2.3000000002326715e-06
63,6.300000000000001,7.899999999949614e-06
64,6.4,2.19999999995224e-06
65,6.5,7.799999999669183e-06
66,6.6000000000000005,7.799999999669183e-06
67,6.7,2.2999999997885823e-06
68,6.800000000000001,7.69999999983284e-06
69,6.9,2.19999999995224e-06
70,7.0,7.800000000113272e-06
71,7.1000000000000005,7.899999999949614e-06
72,7.2,2.19999999995224e-06
73,7.300000000000001,7.5999999999964984e-06
74,7.4,2.2999999997885823e-06
75,7.5,7.799999999669183e-06
76,7.6000000000000005,7.5999999999964984e-06
77,7.7,2.2999999997885823e-06
78,7.800000000000001,8.099999999622298e-06
79,7.9,2.2000000003963294e-06
80,8.0,8.500000000299934e-06
81,8.1,2.3000000002326715e-06
82,8.200000000000001,7.5999999999964984e-06
83,8.3,2.3000000002326715e-06
84,8.4,7.500000000160156e-06
85,8.5,2.3000000002326715e-06
86,8.6,7.5999999999964984e-06
87,8.700000000000001,7.500000000160156e-06
88,8.8,2.4000000000690136e-06
89,8.9,1.6800000000039006e-05
90,9.0,2.7999999998584713e-06
91,9.1,8.80000000025305e-06
92,9.200000000000001,7.899999999949614e-06
93,9.3,2.2000000003963294e-06
94,9.4,7.800000000113272e-06
95,9.5,2.4000000000690136e-06
96,9.600000000000001,7.70000000027693e-06
97,9.700000000000001,2.19999999995224e-06
98,9.8,7.899999999949614e-06
99,9.9,2.2999999997885823e-06
100,10.0,9.200000000042508e-06
101,10.100000000000001,8.19999999990273e-06
102,10.200000000000001,2.3000000002326715e-06
103,10.3,7.899999999949614e-06
104,10.4,2.4999999999053557e-06
105,10.5,0.0018584999999999852
106,10.600000000000001,3.3199999999844465e-05
107,10.700000000000001,2.0100000000411455e-05
108,10.8,2.5400000000175282e-05
109,10.9,2.019999999980371e-05
110,11.0,2.530000000033894e-05
111,11.100000000000001,2.5399999999731193e-05
112,11.200000000000001,2.1600000000177033e-05
113,11.3,2.569999999968431e-05
114,11.4,1.980000000001425e-05
115,11.5,2.90999999998931e-05
0,0.0,1.4900000000039881e-05
1,0.1,9.099999999762076e-06
2,0.2,1.969999999973382e-05
3,0.30000000000000004,1.4500000000250424e-05
4,0.4,2.4999999999053557e-06
5,0.5,8.300000000183161e-06
6,0.6000000000000001,7.900000000393703e-06
7,0.7000000000000001,2.2999999997885823e-06
8,0.8,8.19999999990273e-06
9,0.9,2.3000000002326715e-06
10,1.0,7.900000000393703e-06
11,1.1,7.70000000027693e-06
12,1.2000000000000002,7.800000000113272e-06
13,1.3,2.4000000000690136e-06
14,1.4000000000000001,7.70000000027693e-06
15,1.5,2.19999999995224e-06
16,1.6,8.19999999990273e-06
17,1.7000000000000002,7.999999999785956e-06
18,1.8,2.19999999995224e-06
19,1.9000000000000001,8.599999999692187e-06
20,2.0,2.2999999997885823e-06
21,2.1,7.69999999983284e-06
22,2.2,7.70000000027693e-06
23,2.3000000000000003,7.69999999983284e-06
24,2.4000000000000004,7.500000000160156e-06
25,2.5,2.2000000003963294e-06
26,2.6,7.799999999669183e-06
27,2.7,7.499999999716067e-06
28,2.8000000000000003,7.70000000027693e-06
29,2.9000000000000004,7.500000000160156e-06
30,3.0,2.2999999997885823e-06
31,3.1,7.800000000113272e-06
32,3.2,7.5999999999964984e-06
33,3.3000000000000003,7.69999999983284e-06
34,3.4000000000000004,7.69999999983284e-06
35,3.5,2.099999999671809e-06
36,3.6,7.899999999949614e-06
37,3.7,7.800000000113272e-06
38,3.8000000000000003,7.399999999879725e-06
39,3.9000000000000004,7.69999999983284e-06
40,4.0,2.3000000002326715e-06
41,4.1000000000000005,7.5999999999964984e-06
42,4.2,2.19999999995224e-06
43,4.3,7.70000000027693e-06
44,4.4,7.5999999999964984e-06
45,4.5,2.19999999995224e-06
46,4.6000000000000005,7.5999999999964984e-06
47,4.7,2.19999999995224e-06
48,4.800000000000001,7.5999999999964984e-06
49,4.9,2.3000000002326715e-06
50,5.0,7.69999999983284e-06
51,5.1000000000000005,7.5999999999964984e-06
52,5.2,2.19999999995224e-06
53,5.300000000000001,7.5999999999964984e-06
54,5.4,2.100000000115898e-06
55,5.5,7.800000000113272e-06
56,5.6000000000000005,7.69999999983284e-06
57,5.7,2.2000000003963294e-06
58,5.800000000000001,8.100000000066387e-06
59,5.9,2.2999999997885823e-06
60,6.0,7.70000000027693e-06
61,6.1000000000000005,7.899999999949614e-06
62,6.2,2.19999999995224e-06
63,6.300000000000001,7.5999999999964984e-06
64,6.4,2.2000000003963294e-06
65,6.5,7.800000000113272e-06
66,6.6000000000000005,7.5999999999964984e-06
67,6.7,2.100000000115898e-06
68,6.800000000000001,7.70000000027693e-06
69,6.9,2.19999999995224e-06
70,7.0,7.69999999983284e-06
71,7.1000000000000005,7.500000000160156e-06
72,7.2,2.3000000002326715e-06
73,7.300000000000001,7.500000000160156e-06
74,7.4,2.3000000002326715e-06
75,7.5,7.5999999999964984e-06
76,7.6000000000000005,7.500000000160156e-06
77,7.7,2.3000000002326715e-06
78,7.800000000000001,7.999999999785956e-06
79,7.9,2.4999999999053557e-06
80,8.0,7.899999999949614e-06
81,8.1,2.19999999995224e-06
82,8.200000000000001,8.19999999990273e-06
83,8.3,2.2999999997885823e-06
84,8.4,7.899999999949614e-06
85,8.5,2.2999999997885823e-06
86,8.6,7.800000000113272e-06
87,8.700000000000001,7.799999999669183e-06
88,8.8,2.3000000002326715e-06
89,8.9,1.6700000000202664e-05
90,9.0,3.099999999811587e-06
91,9.1,9.499999999995623e-06
92,9.200000000000001,8.200000000346819e-06
93,9.3,2.4000000000690136e-06
94,9.4,8.200000000346819e-06
95,9.5,3.100000000255676e-06
96,9.600000000000001,8.399999999575414e-06
97,9.700000000000001,2.4000000000690136e-06
98,9.8,7.899999999949614e-06
99,9.9,2.4000000000690136e-06
100,10.0,9.599999999831965e-06
101,10.100000000000001,8.000000000230045e-06
102,10.200000000000001,2.4000000000690136e-06
103,10.3,7.999999999785956e-06
104,10.4,2.4000000000690136e-06
105,10.5,0.0016274999999996709
106,10.600000000000001,2.799999999991698e-05
107,10.700000000000001,2.0399999999920482e-05
108,10.8,2.5399999999731193e-05
109,10.9,1.9400000000224793e-05
110,11.0,2.469999999998862e-05
111,11.100000000000001,2.4900000000105393e-05
112,11.200000000000001,1.9899999999850593e-05
113,11.3,2.4600000000152278e-05
114,11.4,1.929999999994436e-05
115,11.5,2.90999999998931e-05
0,0.0,1.480000000020354e-05
1,0.1,9.400000000159281e-06
2,0.2,8.700000000416708e-06
3,0.30000000000000004,7.799999999669183e-06
4,0.4,2.2999999997885823e-06
